file,category,time_taken,num_instantiations,post_match_instantiations,post_match_dedup_skipped,total_ematching_ms,classic_match_ms,datalog_find_assignments_ms,dl_precheck_ms,dl_var_index_build_ms,dl_join_order_ms,dl_init_binding_ms,dl_get_candidates_ms,dl_try_extend_binding_ms,dl_dedup_ms,dl_extract_assignments_ms,dl_evaluate_multipattern_ms,post_dedup_check_ms,post_substitution_ms,post_let_elim_ms,post_nnf_ms,post_insert_predecessor_ms,post_cnf_tseitin_ms,post_bool_check_ms,post_clause_assembly_ms
explosion_k3_d1_f3_rd50_br4.smt2,unsat,0.8281,,1560,1246,612.5990,470.8110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k8_d2_f2_rd50_br4.smt2,unsat,0.8738,,1485,2561,645.0530,568.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n2_rd500_br8.smt2,unsat,0.9584,,1150,2478,726.4000,669.8680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n2_rd5000_br4.smt2,unsat,0.9689,,282,320,707.4280,698.7030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d3_f3_rd5000_br2.smt2,unsat,1.0004,,352,128,772.5820,760.2450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d1_f3_rd5000_br2.smt2,unsat,1.0227,,344,122,791.2310,778.1440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d1_f3_rd500_br4.smt2,unsat,1.0416,,1560,1246,877.4120,741.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d3_f3_rd500_br4.smt2,unsat,1.1003,,1572,1270,931.7240,790.0880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k8_d2_f2_rd500_br4.smt2,unsat,1.1399,,1485,2561,920.1990,842.5050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n16_rd500_br8.smt2,unsat,1.1462,,1290,3066,920.5520,863.6660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n16_rd5000_br4.smt2,unsat,1.1711,,366,488,901.9060,889.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k5_d2_f2_n2_rd50_br8.smt2,unsat,1.5479,,1932,4984,1295.8410,1173.7360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
